sep=;
Anlagennummer;Zaehlpunkt;Tarif;Verbrauchszeitraum Beginn;Verbrauchszeitraum Ende;Verbrauch;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;28.04.2022 14:30;28.04.2022 14:45;0,005;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 14:45;28.04.2022 15:00;0,019;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:00;28.04.2022 15:15;0,011;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:15;28.04.2022 15:30;0,005;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:30;28.04.2022 15:45;0,013;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 15:45;28.04.2022 16:00;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:00;28.04.2022 16:15;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:15;28.04.2022 16:30;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:30;28.04.2022 16:45;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 16:45;28.04.2022 17:00;0,006;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:00;28.04.2022 17:15;0,007;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:15;28.04.2022 17:30;0,033;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:30;28.04.2022 17:45;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 17:45;28.04.2022 18:00;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:00;28.04.2022 18:15;0,022;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:15;28.04.2022 18:30;0,034;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:30;28.04.2022 18:45;0,092;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 18:45;28.04.2022 19:00;0,089;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:00;28.04.2022 19:15;0,113;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:15;28.04.2022 19:30;0,074;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:30;28.04.2022 19:45;0,073;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 19:45;28.04.2022 20:00;0,06;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:00;28.04.2022 20:15;0,244;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:15;28.04.2022 20:30;0,296;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:30;28.04.2022 20:45;0,054;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 20:45;28.04.2022 21:00;0,046;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:00;28.04.2022 21:15;0,067;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:15;28.04.2022 21:30;0,198;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:30;28.04.2022 21:45;0,333;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 21:45;28.04.2022 22:00;0,048;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:00;28.04.2022 22:15;0,044;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:15;28.04.2022 22:30;0,029;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:30;28.04.2022 22:45;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 22:45;28.04.2022 23:00;0,045;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:00;28.04.2022 23:15;0,025;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:15;28.04.2022 23:30;0,023;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:30;28.04.2022 23:45;0,031;KWH;VAL
12345678;AT0080123456789012345678901234567;;28.04.2022 23:45;29.04.2022 00:00;0,033;KWH;VAL
