Ablesezeitpunkt;Zaehlerstand Gesamt - 1.8.0;Verbrauch Gesamt - 1.8.0;Status Gesamt - 1.8.0;Zaehlerstand Hochtarif - 1.8.1;Verbrauch Hochtarif - 1.8.1;Status Hochtarif - 1.8.1;Zaehlerstand Niedertarif - 1.8.2;Verbrauch Niedertarif - 1.8.2;Status Niedertarif - 1.8.2
2026-03-01T00:00:00.000+01:00;11447,713;;;;;;;;
2026-03-01T00:15:00.000+01:00;11447,758;0,045;VAL;;;;;;
2026-03-01T00:30:00.000+01:00;11447,802;0,044;VAL;;;;;;
2026-03-01T00:45:00.000+01:00;11447,841;0,039;VAL;;;;;;
2026-03-01T01:00:00.000+01:00;11447,869;0,028;VAL;;;;;;
2026-03-01T01:15:00.000+01:00;11447,908;0,039;VAL;;;;;;
2026-03-01T01:30:00.000+01:00;11447,938;0,03;VAL;;;;;;
2026-03-01T01:45:00.000+01:00;11447,968;0,03;VAL;;;;;;
2026-03-01T02:00:00.000+01:00;11448;0,032;VAL;;;;;;
2026-03-01T02:15:00.000+01:00;11448,033;0,033;VAL;;;;;;
2026-03-01T02:30:00.000+01:00;11448,068;0,035;VAL;;;;;;
2026-03-01T02:45:00.000+01:00;11448,095;0,027;VAL;;;;;;
2026-03-01T03:00:00.000+01:00;11448,128;0,033;VAL;;;;;;
2026-03-01T03:15:00.000+01:00;11448,165;0,037;VAL;;;;;;
2026-03-01T03:30:00.000+01:00;11448,191;0,026;VAL;;;;;;
2026-03-01T03:45:00.000+01:00;11448,23;0,039;VAL;;;;;;
2026-03-01T04:00:00.000+01:00;11448,261;0,031;VAL;;;;;;
2026-03-01T04:15:00.000+01:00;11448,294;0,033;VAL;;;;;;
2026-03-01T04:30:00.000+01:00;11448,324;0,03;VAL;;;;;;
2026-03-01T04:45:00.000+01:00;11448,356;0,032;VAL;;;;;;
2026-03-01T05:00:00.000+01:00;11448,394;0,038;VAL;;;;;;
2026-03-01T05:15:00.000+01:00;11448,418;0,024;VAL;;;;;;
2026-03-01T05:30:00.000+01:00;11448,454;0,036;VAL;;;;;;
2026-03-01T05:45:00.000+01:00;11448,489;0,035;VAL;;;;;;
2026-03-01T06:00:00.000+01:00;11448,518;0,029;VAL;;;;;;
2026-03-01T06:15:00.000+01:00;11448,553;0,035;VAL;;;;;;
2026-03-01T06:30:00.000+01:00;11448,582;0,029;VAL;;;;;;
2026-03-01T06:45:00.000+01:00;11448,618;0,036;VAL;;;;;;
2026-03-01T07:00:00.000+01:00;11448,648;0,03;VAL;;;;;;
2026-03-01T07:15:00.000+01:00;11448,675;0,027;VAL;;;;;;
2026-03-01T07:30:00.000+01:00;11448,709;0,034;VAL;;;;;;
2026-03-01T07:45:00.000+01:00;11448,731;0,022;VAL;;;;;;
2026-03-01T08:00:00.000+01:00;11448,76;0,029;VAL;;;;;;
2026-03-01T08:15:00.000+01:00;11448,778;0,018;VAL;;;;;;
2026-03-01T08:30:00.000+01:00;11448,79;0,012;VAL;;;;;;
2026-03-01T08:45:00.000+01:00;11448,793;0,003;VAL;;;;;;
2026-03-01T09:00:00.000+01:00;11448,794;0,001;VAL;;;;;;
2026-03-01T09:15:00.000+01:00;11448,798;0,004;VAL;;;;;;
2026-03-01T09:30:00.000+01:00;11448,805;0,007;VAL;;;;;;
2026-03-01T09:45:00.000+01:00;11448,827;0,022;VAL;;;;;;
2026-03-01T10:00:00.000+01:00;11448,839;0,012;VAL;;;;;;
2026-03-01T10:15:00.000+01:00;11448,85;0,011;VAL;;;;;;
2026-03-01T10:30:00.000+01:00;11448,865;0,015;VAL;;;;;;
2026-03-01T10:45:00.000+01:00;11448,872;0,007;VAL;;;;;;
2026-03-01T11:00:00.000+01:00;11448,883;0,011;VAL;;;;;;
2026-03-01T11:15:00.000+01:00;11448,883;;VAL;;;;;;
2026-03-01T11:30:00.000+01:00;11448,883;;VAL;;;;;;
2026-03-01T11:45:00.000+01:00;11448,886;0,003;VAL;;;;;;
2026-03-01T12:00:00.000+01:00;11448,886;;VAL;;;;;;
2026-03-01T12:15:00.000+01:00;11448,887;0,001;VAL;;;;;;
2026-03-01T12:30:00.000+01:00;11448,887;;VAL;;;;;;
2026-03-01T12:45:00.000+01:00;11448,887;;VAL;;;;;;
2026-03-01T13:00:00.000+01:00;11448,887;;VAL;;;;;;
2026-03-01T13:15:00.000+01:00;11448,887;;VAL;;;;;;
2026-03-01T13:30:00.000+01:00;11449,295;0,408;VAL;;;;;;
2026-03-01T13:45:00.000+01:00;11449,34;0,045;VAL;;;;;;
2026-03-01T14:00:00.000+01:00;11449,384;0,044;VAL;;;;;;
2026-03-01T14:15:00.000+01:00;11449,449;0,065;VAL;;;;;;
2026-03-01T14:30:00.000+01:00;11449,451;0,002;VAL;;;;;;
2026-03-01T14:45:00.000+01:00;11449,469;0,018;VAL;;;;;;
2026-03-01T15:00:00.000+01:00;11449,493;0,024;VAL;;;;;;
2026-03-01T15:15:00.000+01:00;11449,711;0,218;VAL;;;;;;
2026-03-01T15:30:00.000+01:00;11449,729;0,018;VAL;;;;;;
2026-03-01T15:45:00.000+01:00;11449,74;0,011;VAL;;;;;;
2026-03-01T16:00:00.000+01:00;11449,769;0,029;VAL;;;;;;
2026-03-01T16:15:00.000+01:00;11449,783;0,014;VAL;;;;;;
2026-03-01T16:30:00.000+01:00;11449,808;0,025;VAL;;;;;;
2026-03-01T16:45:00.000+01:00;11449,836;0,028;VAL;;;;;;
2026-03-01T17:00:00.000+01:00;11449,856;0,02;VAL;;;;;;
2026-03-01T17:15:00.000+01:00;11449,888;0,032;VAL;;;;;;
2026-03-01T17:30:00.000+01:00;11449,926;0,038;VAL;;;;;;
2026-03-01T17:45:00.000+01:00;11449,988;0,062;VAL;;;;;;
2026-03-01T18:00:00.000+01:00;11450,028;0,04;VAL;;;;;;
2026-03-01T18:15:00.000+01:00;11450,057;0,029;VAL;;;;;;
2026-03-01T18:30:00.000+01:00;11450,089;0,032;VAL;;;;;;
2026-03-01T18:45:00.000+01:00;11450,129;0,04;VAL;;;;;;
2026-03-01T19:00:00.000+01:00;11450,212;0,083;VAL;;;;;;
2026-03-01T19:15:00.000+01:00;11450;0,088;VAL;;;;;;
2026-03-01T19:30:00.000+01:00;11450,384;0,084;VAL;;;;;;
2026-03-01T19:45:00.000+01:00;11450,479;0,095;VAL;;;;;;
2026-03-01T20:00:00.000+01:00;11450,569;0,09;VAL;;;;;;
2026-03-01T20:15:00.000+01:00;11450,658;0,089;VAL;;;;;;
2026-03-01T20:30:00.000+01:00;11450,752;0,094;VAL;;;;;;
2026-03-01T20:45:00.000+01:00;11451,254;0,502;VAL;;;;;;
2026-03-01T21:00:00.000+01:00;11451,496;0,242;VAL;;;;;;
2026-03-01T21:15:00.000+01:00;11451,551;0,055;VAL;;;;;;
2026-03-01T21:30:00.000+01:00;11451,595;0,044;VAL;;;;;;
2026-03-01T21:45:00.000+01:00;11451,654;0,059;VAL;;;;;;
2026-03-01T22:00:00.000+01:00;11451,698;0,044;VAL;;;;;;
2026-03-01T22:15:00.000+01:00;11451,749;0,051;VAL;;;;;;
2026-03-01T22:30:00.000+01:00;11451,801;0,052;VAL;;;;;;
2026-03-01T22:45:00.000+01:00;11451,84;0,039;VAL;;;;;;
2026-03-01T23:00:00.000+01:00;11451,89;0,05;VAL;;;;;;
2026-03-01T23:15:00.000+01:00;11451,918;0,028;VAL;;;;;;
2026-03-01T23:30:00.000+01:00;11451,964;0,046;VAL;;;;;;
2026-03-01T23:45:00.000+01:00;11452,002;0,038;VAL;;;;;;
2026-03-02T00:00:00.000+01:00;11452,046;0,044;VAL;;;;;;
2026-03-02T00:15:00.000+01:00;11452,083;0,037;VAL;;;;;;
2026-03-02T00:30:00.000+01:00;11452,115;0,032;VAL;;;;;;
2026-03-02T00:45:00.000+01:00;11452,15;0,035;VAL;;;;;;
2026-03-02T01:00:00.000+01:00;11452,174;0,024;VAL;;;;;;
2026-03-02T01:15:00.000+01:00;11452,211;0,037;VAL;;;;;;
2026-03-02T01:30:00.000+01:00;11452,23;0,019;VAL;;;;;;
2026-03-02T01:45:00.000+01:00;11452,261;0,031;VAL;;;;;;
2026-03-02T02:00:00.000+01:00;11452,289;0,028;VAL;;;;;;
2026-03-02T02:15:00.000+01:00;11452,315;0,026;VAL;;;;;;
2026-03-02T02:30:00.000+01:00;11452,344;0,029;VAL;;;;;;
2026-03-02T02:45:00.000+01:00;11452,375;0,031;VAL;;;;;;
2026-03-02T03:00:00.000+01:00;11452,408;0,033;VAL;;;;;;
2026-03-02T03:15:00.000+01:00;11452,432;0,024;VAL;;;;;;
2026-03-02T03:30:00.000+01:00;11452,468;0,036;VAL;;;;;;
2026-03-02T03:45:00.000+01:00;11452,491;0,023;VAL;;;;;;
2026-03-02T04:00:00.000+01:00;11452,518;0,027;VAL;;;;;;
2026-03-02T04:15:00.000+01:00;11452,547;0,029;VAL;;;;;;
2026-03-02T04:30:00.000+01:00;11452,576;0,029;VAL;;;;;;
2026-03-02T04:45:00.000+01:00;11452,601;0,025;VAL;;;;;;
2026-03-02T05:00:00.000+01:00;11452,633;0,032;VAL;;;;;;
2026-03-02T05:15:00.000+01:00;11452,661;0,028;VAL;;;;;;
2026-03-02T05:30:00.000+01:00;11452,69;0,029;VAL;;;;;;
2026-03-02T05:45:00.000+01:00;11452,721;0,031;VAL;;;;;;
2026-03-02T06:00:00.000+01:00;11452,754;0,033;VAL;;;;;;
2026-03-02T06:15:00.000+01:00;11452,778;0,024;VAL;;;;;;
2026-03-02T06:30:00.000+01:00;11452,813;0,035;VAL;;;;;;
2026-03-02T06:45:00.000+01:00;11452,841;0,028;VAL;;;;;;
2026-03-02T07:00:00.000+01:00;11452,865;0,024;VAL;;;;;;
2026-03-02T07:15:00.000+01:00;11452,897;0,032;VAL;;;;;;
2026-03-02T07:30:00.000+01:00;11452,919;0,022;VAL;;;;;;
2026-03-02T07:45:00.000+01:00;11452,951;0,032;VAL;;;;;;
