Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
13.04.2023 12:30:00;13.04.2023 12:44:59;0,214;21.05.2023 00:00:00;21.05.2023 23:59:59;3,645
13.04.2023 12:45:00;13.04.2023 12:59:59;0,097;22.05.2023 00:00:00;22.05.2023 23:59:59;4,047
13.04.2023 13:00:00;13.04.2023 13:14:59;0,398;23.05.2023 00:00:00;23.05.2023 23:59:59;5,657
13.04.2023 13:15:00;13.04.2023 13:29:59;0,825;24.05.2023 00:00:00;24.05.2023 23:59:59;9,217
13.04.2023 13:30:00;13.04.2023 13:44:59;0,211;25.05.2023 00:00:00;25.05.2023 23:59:59;8,58
13.04.2023 13:45:00;13.04.2023 13:59:59;0,085;26.05.2023 00:00:00;26.05.2023 23:59:59;5,099
13.04.2023 14:00:00;13.04.2023 14:14:59;0,108;27.05.2023 00:00:00;27.05.2023 23:59:59;4,213
13.04.2023 14:15:00;13.04.2023 14:29:59;0,166;28.05.2023 00:00:00;28.05.2023 23:59:59;4,883
13.04.2023 14:30:00;13.04.2023 14:44:59;0,604;29.05.2023 00:00:00;29.05.2023 23:59:59;4,55
13.04.2023 14:45:00;13.04.2023 14:59:59;0,574;30.05.2023 00:00:00;30.05.2023 23:59:59;3,884
13.04.2023 15:00:00;13.04.2023 15:14:59;0,293;31.05.2023 00:00:00;31.05.2023 23:59:59;4,572
13.04.2023 15:15:00;13.04.2023 15:29:59;0,592;01.06.2023 00:00:00;01.06.2023 23:59:59;2,947
13.04.2023 15:30:00;13.04.2023 15:44:59;0,211;02.06.2023 00:00:00;02.06.2023 23:59:59;6,011
13.04.2023 15:45:00;13.04.2023 15:59:59;0,201;03.06.2023 00:00:00;03.06.2023 23:59:59;4,672
13.04.2023 16:00:00;13.04.2023 16:14:59;0,205;04.06.2023 00:00:00;04.06.2023 23:59:59;2,106
13.04.2023 16:15:00;13.04.2023 16:29:59;0,495;05.06.2023 00:00:00;05.06.2023 23:59:59;3,973
13.04.2023 16:30:00;13.04.2023 16:44:59;0,121;06.06.2023 00:00:00;06.06.2023 23:59:59;3,386
13.04.2023 16:45:00;13.04.2023 16:59:59;0,174;07.06.2023 00:00:00;07.06.2023 23:59:59;4,009
13.04.2023 17:00:00;13.04.2023 17:14:59;0,152;08.06.2023 00:00:00;08.06.2023 23:59:59;8,977
13.04.2023 17:15:00;13.04.2023 17:29:59;0,126;09.06.2023 00:00:00;09.06.2023 23:59:59;7,774
13.04.2023 17:30:00;13.04.2023 17:44:59;0,181;10.06.2023 00:00:00;10.06.2023 23:59:59;9,797
13.04.2023 17:45:00;13.04.2023 17:59:59;0,412;11.06.2023 00:00:00;11.06.2023 23:59:59;5,199
13.04.2023 18:00:00;13.04.2023 18:14:59;0,197;12.06.2023 00:00:00;12.06.2023 23:59:59;3,244
13.04.2023 18:15:00;13.04.2023 18:29:59;0,149;13.06.2023 00:00:00;13.06.2023 23:59:59;5,23
13.04.2023 18:30:00;13.04.2023 18:44:59;0,15;14.06.2023 00:00:00;14.06.2023 23:59:59;5,054
13.04.2023 18:45:00;13.04.2023 18:59:59;0,158;15.06.2023 00:00:00;15.06.2023 23:59:59;2,02
13.04.2023 19:00:00;13.04.2023 19:14:59;0,12;16.06.2023 00:00:00;16.06.2023 23:59:59;0,355
13.04.2023 19:15:00;13.04.2023 19:29:59;0,126;17.06.2023 00:00:00;17.06.2023 23:59:59;1,958
13.04.2023 19:30:00;13.04.2023 19:44:59;0,144;18.06.2023 00:00:00;18.06.2023 23:59:59;0,464
13.04.2023 19:45:00;13.04.2023 19:59:59;0,161;19.06.2023 00:00:00;19.06.2023 23:59:59;1,97
13.04.2023 20:00:00;13.04.2023 20:14:59;0,144;20.06.2023 00:00:00;20.06.2023 23:59:59;3,168
13.04.2023 20:15:00;13.04.2023 20:29:59;0,156;21.06.2023 00:00:00;21.06.2023 23:59:59;2,605
13.04.2023 20:30:00;13.04.2023 20:44:59;0,155;22.06.2023 00:00:00;22.06.2023 23:59:59;2,422
13.04.2023 20:45:00;13.04.2023 20:59:59;0,14;23.06.2023 00:00:00;23.06.2023 23:59:59;3,902
13.04.2023 21:00:00;13.04.2023 21:14:59;0,129;24.06.2023 00:00:00;24.06.2023 23:59:59;3,772
13.04.2023 21:15:00;13.04.2023 21:29:59;0,124;25.06.2023 00:00:00;25.06.2023 23:59:59;6,245
13.04.2023 21:30:00;13.04.2023 21:44:59;0,14;26.06.2023 00:00:00;26.06.2023 23:59:59;3,327
13.04.2023 21:45:00;13.04.2023 21:59:59;0,14;27.06.2023 00:00:00;27.06.2023 23:59:59;6,73
13.04.2023 22:00:00;13.04.2023 22:14:59;0,162;28.06.2023 00:00:00;28.06.2023 23:59:59;13,085
13.04.2023 22:15:00;13.04.2023 22:29:59;0,188;29.06.2023 00:00:00;29.06.2023 23:59:59;6,181
13.04.2023 22:30:00;13.04.2023 22:44:59;0,176;30.06.2023 00:00:00;30.06.2023 23:59:59;4,07
13.04.2023 22:45:00;13.04.2023 22:59:59;0,142;;;
13.04.2023 23:00:00;13.04.2023 23:14:59;0,146;;;
13.04.2023 23:15:00;13.04.2023 23:29:59;0,154;;;
13.04.2023 23:30:00;13.04.2023 23:44:59;0,154;;;
13.04.2023 23:45:00;13.04.2023 23:59:59;0,148;;;
14.04.2023 00:00:00;14.04.2023 00:14:59;0,179;;;
14.04.2023 00:15:00;14.04.2023 00:29:59;0,151;;;
14.04.2023 00:30:00;14.04.2023 00:44:59;0,154;;;
14.04.2023 00:45:00;14.04.2023 00:59:59;0,151;;;
14.04.2023 01:00:00;14.04.2023 01:14:59;0,152;;;
14.04.2023 01:15:00;14.04.2023 01:29:59;0,152;;;
14.04.2023 01:30:00;14.04.2023 01:44:59;0,143;;;
14.04.2023 01:45:00;14.04.2023 01:59:59;0,133;;;
14.04.2023 02:00:00;14.04.2023 02:14:59;0,145;;;
14.04.2023 02:15:00;14.04.2023 02:29:59;0,155;;;
14.04.2023 02:30:00;14.04.2023 02:44:59;0,145;;;
14.04.2023 02:45:00;14.04.2023 02:59:59;0,139;;;
14.04.2023 03:00:00;14.04.2023 03:14:59;0,139;;;
14.04.2023 03:15:00;14.04.2023 03:29:59;0,15;;;
14.04.2023 03:30:00;14.04.2023 03:44:59;0,143;;;
14.04.2023 03:45:00;14.04.2023 03:59:59;0,143;;;
14.04.2023 04:00:00;14.04.2023 04:14:59;0,144;;;
14.04.2023 04:15:00;14.04.2023 04:29:59;0,146;;;
14.04.2023 04:30:00;14.04.2023 04:44:59;0,134;;;
14.04.2023 04:45:00;14.04.2023 04:59:59;0,146;;;
14.04.2023 05:00:00;14.04.2023 05:14:59;0,156;;;
