Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
01.11.2023 17:00:00;01.11.2023 17:14:59;0,003;;;
01.11.2023 17:15:00;01.11.2023 17:29:59;0,004;;;
01.11.2023 17:30:00;01.11.2023 17:44:59;0,004;;;
01.11.2023 17:45:00;01.11.2023 17:59:59;0,003;;;
01.11.2023 18:00:00;01.11.2023 18:14:59;0,004;;;
01.11.2023 18:15:00;01.11.2023 18:29:59;0,003;;;
01.11.2023 18:30:00;01.11.2023 18:44:59;0,003;;;
01.11.2023 18:45:00;01.11.2023 18:59:59;0,004;;;
01.11.2023 19:00:00;01.11.2023 19:14:59;0,006;;;
01.11.2023 19:15:00;01.11.2023 19:29:59;0,003;;;
01.11.2023 19:30:00;01.11.2023 19:44:59;0,002;;;
01.11.2023 19:45:00;01.11.2023 19:59:59;0,004;;;
01.11.2023 20:00:00;01.11.2023 20:14:59;0,003;;;
01.11.2023 20:15:00;01.11.2023 20:29:59;0,003;;;
01.11.2023 20:30:00;01.11.2023 20:44:59;0,003;;;
01.11.2023 20:45:00;01.11.2023 20:59:59;0,007;;;
01.11.2023 21:00:00;01.11.2023 21:14:59;0,003;;;
01.11.2023 21:15:00;01.11.2023 21:29:59;0,002;;;
01.11.2023 21:30:00;01.11.2023 21:44:59;0,006;;;
01.11.2023 21:45:00;01.11.2023 21:59:59;0,002;;;
01.11.2023 22:00:00;01.11.2023 22:14:59;0,003;;;
01.11.2023 22:15:00;01.11.2023 22:29:59;0,015;;;
01.11.2023 22:30:00;01.11.2023 22:44:59;0,003;;;
01.11.2023 22:45:00;01.11.2023 22:59:59;0,005;;;
01.11.2023 23:00:00;01.11.2023 23:14:59;0,003;;;
01.11.2023 23:15:00;01.11.2023 23:29:59;0,003;;;
01.11.2023 23:30:00;01.11.2023 23:44:59;0,005;;;
01.11.2023 23:45:00;01.11.2023 23:59:59;0,016;;;
02.11.2023 00:00:00;02.11.2023 00:14:59;0,004;;;
02.11.2023 00:15:00;02.11.2023 00:29:59;0,014;;;
02.11.2023 00:30:00;02.11.2023 00:44:59;0,032;;;
02.11.2023 00:45:00;02.11.2023 00:59:59;0,038;;;
02.11.2023 01:00:00;02.11.2023 01:14:59;0,031;;;
02.11.2023 01:15:00;02.11.2023 01:29:59;0,031;;;
02.11.2023 01:30:00;02.11.2023 01:44:59;0,04;;;
02.11.2023 01:45:00;02.11.2023 01:59:59;0,04;;;
02.11.2023 02:00:00;02.11.2023 02:14:59;0,038;;;
02.11.2023 02:15:00;02.11.2023 02:29:59;0,062;;;
02.11.2023 02:30:00;02.11.2023 02:44:59;0,064;;;
02.11.2023 02:45:00;02.11.2023 02:59:59;0,039;;;
02.11.2023 03:00:00;02.11.2023 03:14:59;0,051;;;
02.11.2023 03:15:00;02.11.2023 03:29:59;0,042;;;
02.11.2023 03:30:00;02.11.2023 03:44:59;0,052;;;
02.11.2023 03:45:00;02.11.2023 03:59:59;0,034;;;
02.11.2023 04:00:00;02.11.2023 04:14:59;0,031;;;
02.11.2023 04:15:00;02.11.2023 04:29:59;0,042;;;
02.11.2023 04:30:00;02.11.2023 04:44:59;0,037;;;
02.11.2023 04:45:00;02.11.2023 04:59:59;0,042;;;
02.11.2023 05:00:00;02.11.2023 05:14:59;0,038;;;
02.11.2023 05:15:00;02.11.2023 05:29:59;0,03;;;
02.11.2023 05:30:00;02.11.2023 05:44:59;0,045;;;
02.11.2023 05:45:00;02.11.2023 05:59:59;0,036;;;
02.11.2023 06:00:00;02.11.2023 06:14:59;0,038;;;
02.11.2023 06:15:00;02.11.2023 06:29:59;0,043;;;
02.11.2023 06:30:00;02.11.2023 06:44:59;0,029;;;
02.11.2023 06:45:00;02.11.2023 06:59:59;0,037;;;
02.11.2023 07:00:00;02.11.2023 07:14:59;0,044;;;
02.11.2023 07:15:00;02.11.2023 07:29:59;0,034;;;
02.11.2023 07:30:00;02.11.2023 07:44:59;0,034;;;
02.11.2023 07:45:00;02.11.2023 07:59:59;0,023;;;
02.11.2023 08:00:00;02.11.2023 08:14:59;0,025;;;
02.11.2023 08:15:00;02.11.2023 08:29:59;0,002;;;
02.11.2023 08:30:00;02.11.2023 08:44:59;0,006;;;
02.11.2023 08:45:00;02.11.2023 08:59:59;0,004;;;
02.11.2023 09:00:00;02.11.2023 09:14:59;0,004;;;
02.11.2023 09:15:00;02.11.2023 09:29:59;0,002;;;
02.11.2023 09:30:00;02.11.2023 09:44:59;0;;;
02.11.2023 09:45:00;02.11.2023 09:59:59;0,001;;;
02.11.2023 10:00:00;02.11.2023 10:14:59;0,006;;;
02.11.2023 10:15:00;02.11.2023 10:29:59;0;;;
02.11.2023 10:30:00;02.11.2023 10:44:59;0;;;
02.11.2023 10:45:00;02.11.2023 10:59:59;0,001;;;
02.11.2023 11:00:00;02.11.2023 11:14:59;0;;;
02.11.2023 11:15:00;02.11.2023 11:29:59;0,006;;;
02.11.2023 11:30:00;02.11.2023 11:44:59;0,002;;;
02.11.2023 11:45:00;02.11.2023 11:59:59;0,002;;;
02.11.2023 12:00:00;02.11.2023 12:14:59;0;;;
02.11.2023 12:15:00;02.11.2023 12:29:59;0,004;;;
02.11.2023 12:30:00;02.11.2023 12:44:59;0,006;;;
02.11.2023 12:45:00;02.11.2023 12:59:59;0,004;;;
02.11.2023 13:00:00;02.11.2023 13:14:59;0,002;;;
02.11.2023 13:15:00;02.11.2023 13:29:59;0,003;;;
02.11.2023 13:30:00;02.11.2023 13:44:59;0,004;;;
02.11.2023 13:45:00;02.11.2023 13:59:59;0,005;;;
02.11.2023 14:00:00;02.11.2023 14:14:59;0,006;;;
02.11.2023 14:15:00;02.11.2023 14:29:59;0,002;;;
02.11.2023 14:30:00;02.11.2023 14:44:59;0,005;;;
02.11.2023 14:45:00;02.11.2023 14:59:59;0,021;;;
02.11.2023 15:00:00;02.11.2023 15:14:59;0,027;;;
02.11.2023 15:15:00;02.11.2023 15:29:59;0,009;;;
02.11.2023 15:30:00;02.11.2023 15:44:59;0,021;;;
02.11.2023 15:45:00;02.11.2023 15:59:59;0,031;;;
02.11.2023 16:00:00;02.11.2023 16:14:59;0,034;;;
02.11.2023 16:15:00;02.11.2023 16:29:59;0,045;;;
02.11.2023 16:30:00;02.11.2023 16:44:59;0,038;;;
02.11.2023 16:45:00;02.11.2023 16:59:59;0,051;;;
02.11.2023 17:00:00;02.11.2023 17:14:59;0,049;;;
02.11.2023 17:15:00;02.11.2023 17:29:59;0,04;;;
02.11.2023 17:30:00;02.11.2023 17:44:59;0,045;;;
02.11.2023 17:45:00;02.11.2023 17:59:59;0,043;;;
02.11.2023 18:00:00;02.11.2023 18:14:59;0,047;;;
02.11.2023 18:15:00;02.11.2023 18:29:59;0,053;;;
02.11.2023 18:30:00;02.11.2023 18:44:59;0,041;;;
02.11.2023 18:45:00;02.11.2023 18:59:59;0,04;;;
02.11.2023 19:00:00;02.11.2023 19:14:59;0,048;;;
02.11.2023 19:15:00;02.11.2023 19:29:59;0,048;;;
02.11.2023 19:30:00;02.11.2023 19:44:59;0,048;;;
02.11.2023 19:45:00;02.11.2023 19:59:59;0,042;;;
02.11.2023 20:00:00;02.11.2023 20:14:59;0,039;;;
02.11.2023 20:15:00;02.11.2023 20:29:59;0,052;;;
02.11.2023 20:30:00;02.11.2023 20:44:59;0,048;;;
02.11.2023 20:45:00;02.11.2023 20:59:59;0,043;;;
02.11.2023 21:00:00;02.11.2023 21:14:59;0,092;;;
02.11.2023 21:15:00;02.11.2023 21:29:59;0,05;;;
