Typ;Anlage;Zähler;Zählpunkt;OBIS-Code;DatumUhrzeit;Verbrauch;Einheit
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 22:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 22:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 22:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 22:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 23:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 23:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 23:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;02.01.2024 23:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 00:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 00:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 00:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 00:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 01:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 01:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 01:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 01:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 02:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 02:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 02:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 02:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 03:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 03:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 03:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 03:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 04:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 04:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 04:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 04:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 05:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 05:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 05:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 05:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 06:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 06:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 06:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 06:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 07:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 07:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 07:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 07:45;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 08:00;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 08:15;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 08:30;0,000000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 08:45;0,002000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 09:00;0,004000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 09:15;0,001000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 09:30;0,002000;kWh
Strom;9405399;;AT0071000902000000000000940539901;Lastprofil Wirk Lieferung;03.01.2024 09:45;0,002000;kWh
