Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
01.07.2023 00:00:00;01.07.2023 00:14:59;0,062;01.07.2023 00:00:00;01.07.2023 23:59:59;7,941
01.07.2023 00:15:00;01.07.2023 00:29:59;0,067;02.07.2023 00:00:00;02.07.2023 23:59:59;3,572
01.07.2023 00:30:00;01.07.2023 00:44:59;0,051;03.07.2023 00:00:00;03.07.2023 23:59:59;2,764
01.07.2023 00:45:00;01.07.2023 00:59:59;0,047;04.07.2023 00:00:00;04.07.2023 23:59:59;1,554
01.07.2023 01:00:00;01.07.2023 01:14:59;0,043;05.07.2023 00:00:00;05.07.2023 23:59:59;2,988
01.07.2023 01:15:00;01.07.2023 01:29:59;0,053;06.07.2023 00:00:00;06.07.2023 23:59:59;3,51
01.07.2023 01:30:00;01.07.2023 01:44:59;0,043;07.07.2023 00:00:00;07.07.2023 23:59:59;2,006
01.07.2023 01:45:00;01.07.2023 01:59:59;0,039;08.07.2023 00:00:00;08.07.2023 23:59:59;1,423
01.07.2023 02:00:00;01.07.2023 02:14:59;0,052;09.07.2023 00:00:00;09.07.2023 23:59:59;1,653
01.07.2023 02:15:00;01.07.2023 02:29:59;0,056;10.07.2023 00:00:00;10.07.2023 23:59:59;2,441
01.07.2023 02:30:00;01.07.2023 02:44:59;0,042;11.07.2023 00:00:00;11.07.2023 23:59:59;5,904
01.07.2023 02:45:00;01.07.2023 02:59:59;0,04;12.07.2023 00:00:00;12.07.2023 23:59:59;8,356
01.07.2023 03:00:00;01.07.2023 03:14:59;0,049;13.07.2023 00:00:00;13.07.2023 23:59:59;3,414
01.07.2023 03:15:00;01.07.2023 03:29:59;0,048;14.07.2023 00:00:00;14.07.2023 23:59:59;2,365
01.07.2023 03:30:00;01.07.2023 03:44:59;0,036;15.07.2023 00:00:00;15.07.2023 23:59:59;0,813
01.07.2023 03:45:00;01.07.2023 03:59:59;0,064;16.07.2023 00:00:00;16.07.2023 23:59:59;3,222
01.07.2023 04:00:00;01.07.2023 04:14:59;0,049;17.07.2023 00:00:00;17.07.2023 23:59:59;4,962
01.07.2023 04:15:00;01.07.2023 04:29:59;0,054;18.07.2023 00:00:00;18.07.2023 23:59:59;7,487
01.07.2023 04:30:00;01.07.2023 04:44:59;0,041;19.07.2023 00:00:00;19.07.2023 23:59:59;4,083
01.07.2023 04:45:00;01.07.2023 04:59:59;0,038;20.07.2023 00:00:00;20.07.2023 23:59:59;3,304
01.07.2023 05:00:00;01.07.2023 05:14:59;0,049;21.07.2023 00:00:00;21.07.2023 23:59:59;5,55
01.07.2023 05:15:00;01.07.2023 05:29:59;0,05;22.07.2023 00:00:00;22.07.2023 23:59:59;6,013
01.07.2023 05:30:00;01.07.2023 05:44:59;0,032;23.07.2023 00:00:00;23.07.2023 23:59:59;2,317
01.07.2023 05:45:00;01.07.2023 05:59:59;0,04;24.07.2023 00:00:00;24.07.2023 23:59:59;4,2
01.07.2023 06:00:00;01.07.2023 06:14:59;0,043;25.07.2023 00:00:00;25.07.2023 23:59:59;8,137
01.07.2023 06:15:00;01.07.2023 06:29:59;0,055;26.07.2023 00:00:00;26.07.2023 23:59:59;10,783
01.07.2023 06:30:00;01.07.2023 06:44:59;0,038;27.07.2023 00:00:00;27.07.2023 23:59:59;9,305
01.07.2023 06:45:00;01.07.2023 06:59:59;0,024;28.07.2023 00:00:00;28.07.2023 23:59:59;8,688
01.07.2023 07:00:00;01.07.2023 07:14:59;0,031;29.07.2023 00:00:00;29.07.2023 23:59:59;6,725
01.07.2023 07:15:00;01.07.2023 07:29:59;0,033;30.07.2023 00:00:00;30.07.2023 23:59:59;4,78
01.07.2023 07:30:00;01.07.2023 07:44:59;0,016;31.07.2023 00:00:00;31.07.2023 23:59:59;2,938
01.07.2023 07:45:00;01.07.2023 07:59:59;0,02;01.08.2023 00:00:00;01.08.2023 23:59:59;3,575
01.07.2023 08:00:00;01.07.2023 08:14:59;0,042;02.08.2023 00:00:00;02.08.2023 23:59:59;6,176
01.07.2023 08:15:00;01.07.2023 08:29:59;0,03;03.08.2023 00:00:00;03.08.2023 23:59:59;10,788
01.07.2023 08:30:00;01.07.2023 08:44:59;0,006;04.08.2023 00:00:00;04.08.2023 23:59:59;6,993
01.07.2023 08:45:00;01.07.2023 08:59:59;0,001;05.08.2023 00:00:00;05.08.2023 23:59:59;3,299
01.07.2023 09:00:00;01.07.2023 09:14:59;0,091;06.08.2023 00:00:00;06.08.2023 23:59:59;1,683
01.07.2023 09:15:00;01.07.2023 09:29:59;0,008;07.08.2023 00:00:00;07.08.2023 23:59:59;1,334
