sep=;
Anlagennummer;Zaehlpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
12345678;AT0080123456789012345678901234567;;01.07.2023 14:30;01.07.2023 14:45;0,018;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 14:45;01.07.2023 15:00;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 15:00;01.07.2023 15:15;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 15:15;01.07.2023 15:30;0,027;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 15:30;01.07.2023 15:45;0,016;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 15:45;01.07.2023 16:00;0,026;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 16:00;01.07.2023 16:15;0,032;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 16:15;01.07.2023 16:30;0,015;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 16:30;01.07.2023 16:45;0,068;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 16:45;01.07.2023 17:00;0,264;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 17:00;01.07.2023 17:15;0,551;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 17:15;01.07.2023 17:30;0,155;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 17:30;01.07.2023 17:45;0,033;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 17:45;01.07.2023 18:00;0,037;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 18:00;01.07.2023 18:15;0,034;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 18:15;01.07.2023 18:30;0,043;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 18:30;01.07.2023 18:45;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 18:45;01.07.2023 19:00;0,017;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 19:00;01.07.2023 19:15;0,04;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 19:15;01.07.2023 19:30;0,059;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 19:30;01.07.2023 19:45;0,044;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 19:45;01.07.2023 20:00;0,036;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 20:00;01.07.2023 20:15;0,05;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 20:15;01.07.2023 20:30;0,041;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 20:30;01.07.2023 20:45;0,03;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 20:45;01.07.2023 21:00;0,037;KWH;VAL
12345678;AT0080123456789012345678901234567;;01.07.2023 21:00;01.07.2023 21:15;0,047;KWH;VAL
