Startdatum;Enddatum;Zählpunktbezeichnung;Name der Energiegemeinschaft;ID der Energiegemeinschaft;OBIS;OBIS Kurzbeschreibung;Wert;Einheit;Qualität;Qualität Beschreibung
08.09.2025 13:15;08.09.2025 13:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
08.09.2025 13:30;08.09.2025 13:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,097;kWh;L1;Echtwert gemessen
08.09.2025 13:45;08.09.2025 14:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,098;kWh;L1;Echtwert gemessen
08.09.2025 14:00;08.09.2025 14:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
08.09.2025 14:15;08.09.2025 14:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,095;kWh;L1;Echtwert gemessen
08.09.2025 14:30;08.09.2025 14:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
08.09.2025 14:45;08.09.2025 15:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,098;kWh;L1;Echtwert gemessen
08.09.2025 15:00;08.09.2025 15:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,273;kWh;L1;Echtwert gemessen
08.09.2025 15:15;08.09.2025 15:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,316;kWh;L1;Echtwert gemessen
08.09.2025 15:30;08.09.2025 15:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,108;kWh;L1;Echtwert gemessen
08.09.2025 15:45;08.09.2025 16:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,111;kWh;L1;Echtwert gemessen
08.09.2025 16:00;08.09.2025 16:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,096;kWh;L1;Echtwert gemessen
08.09.2025 16:15;08.09.2025 16:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,098;kWh;L1;Echtwert gemessen
08.09.2025 16:30;08.09.2025 16:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
08.09.2025 16:45;08.09.2025 17:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,097;kWh;L1;Echtwert gemessen
08.09.2025 17:00;08.09.2025 17:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
08.09.2025 17:15;08.09.2025 17:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,095;kWh;L1;Echtwert gemessen
08.09.2025 17:30;08.09.2025 17:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
08.09.2025 17:45;08.09.2025 18:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,096;kWh;L1;Echtwert gemessen
08.09.2025 18:00;08.09.2025 18:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
08.09.2025 18:15;08.09.2025 18:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,156;kWh;L1;Echtwert gemessen
08.09.2025 18:30;08.09.2025 18:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,121;kWh;L1;Echtwert gemessen
08.09.2025 18:45;08.09.2025 19:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,098;kWh;L1;Echtwert gemessen
08.09.2025 19:00;08.09.2025 19:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,096;kWh;L1;Echtwert gemessen
08.09.2025 19:15;08.09.2025 19:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
08.09.2025 19:30;08.09.2025 19:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
08.09.2025 19:45;08.09.2025 20:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,103;kWh;L1;Echtwert gemessen
08.09.2025 20:00;08.09.2025 20:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
08.09.2025 20:15;08.09.2025 20:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,117;kWh;L1;Echtwert gemessen
08.09.2025 20:30;08.09.2025 20:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,124;kWh;L1;Echtwert gemessen
08.09.2025 20:45;08.09.2025 21:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,125;kWh;L1;Echtwert gemessen
08.09.2025 21:00;08.09.2025 21:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,128;kWh;L1;Echtwert gemessen
08.09.2025 21:15;08.09.2025 21:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,111;kWh;L1;Echtwert gemessen
08.09.2025 21:30;08.09.2025 21:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,113;kWh;L1;Echtwert gemessen
08.09.2025 21:45;08.09.2025 22:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
08.09.2025 22:00;08.09.2025 22:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
08.09.2025 22:15;08.09.2025 22:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,108;kWh;L1;Echtwert gemessen
08.09.2025 22:30;08.09.2025 22:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,104;kWh;L1;Echtwert gemessen
08.09.2025 22:45;08.09.2025 23:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,111;kWh;L1;Echtwert gemessen
08.09.2025 23:00;08.09.2025 23:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
08.09.2025 23:15;08.09.2025 23:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
08.09.2025 23:30;08.09.2025 23:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
08.09.2025 23:45;09.09.2025 00:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 00:00;09.09.2025 00:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
09.09.2025 00:15;09.09.2025 00:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,104;kWh;L1;Echtwert gemessen
09.09.2025 00:30;09.09.2025 00:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,229;kWh;L1;Echtwert gemessen
09.09.2025 00:45;09.09.2025 01:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,12;kWh;L1;Echtwert gemessen
09.09.2025 01:00;09.09.2025 01:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,108;kWh;L1;Echtwert gemessen
09.09.2025 01:15;09.09.2025 01:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
09.09.2025 01:30;09.09.2025 01:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
09.09.2025 01:45;09.09.2025 02:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
09.09.2025 02:00;09.09.2025 02:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,103;kWh;L1;Echtwert gemessen
09.09.2025 02:15;09.09.2025 02:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 02:30;09.09.2025 02:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
09.09.2025 02:45;09.09.2025 03:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
09.09.2025 03:00;09.09.2025 03:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,108;kWh;L1;Echtwert gemessen
09.09.2025 03:15;09.09.2025 03:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,103;kWh;L1;Echtwert gemessen
09.09.2025 03:30;09.09.2025 03:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 03:45;09.09.2025 04:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
09.09.2025 04:00;09.09.2025 04:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
09.09.2025 04:15;09.09.2025 04:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
09.09.2025 04:30;09.09.2025 04:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,103;kWh;L1;Echtwert gemessen
09.09.2025 04:45;09.09.2025 05:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
09.09.2025 05:00;09.09.2025 05:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,121;kWh;L1;Echtwert gemessen
09.09.2025 05:15;09.09.2025 05:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,117;kWh;L1;Echtwert gemessen
09.09.2025 05:30;09.09.2025 05:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,153;kWh;L1;Echtwert gemessen
09.09.2025 05:45;09.09.2025 06:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,122;kWh;L1;Echtwert gemessen
09.09.2025 06:00;09.09.2025 06:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 06:15;09.09.2025 06:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
09.09.2025 06:30;09.09.2025 06:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
09.09.2025 06:45;09.09.2025 07:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
09.09.2025 07:00;09.09.2025 07:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,104;kWh;L1;Echtwert gemessen
09.09.2025 07:15;09.09.2025 07:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 07:30;09.09.2025 07:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
09.09.2025 07:45;09.09.2025 08:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 08:00;09.09.2025 08:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 08:15;09.09.2025 08:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,114;kWh;L1;Echtwert gemessen
09.09.2025 08:30;09.09.2025 08:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,112;kWh;L1;Echtwert gemessen
09.09.2025 08:45;09.09.2025 09:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,104;kWh;L1;Echtwert gemessen
09.09.2025 09:00;09.09.2025 09:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 09:15;09.09.2025 09:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
09.09.2025 09:30;09.09.2025 09:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
09.09.2025 09:45;09.09.2025 10:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
09.09.2025 10:00;09.09.2025 10:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 10:15;09.09.2025 10:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
09.09.2025 10:30;09.09.2025 10:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 10:45;09.09.2025 11:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
09.09.2025 11:00;09.09.2025 11:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,096;kWh;L1;Echtwert gemessen
09.09.2025 11:15;09.09.2025 11:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,096;kWh;L1;Echtwert gemessen
09.09.2025 11:30;09.09.2025 11:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
09.09.2025 11:45;09.09.2025 12:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
09.09.2025 12:00;09.09.2025 12:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,115;kWh;L1;Echtwert gemessen
09.09.2025 12:15;09.09.2025 12:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
09.09.2025 12:30;09.09.2025 12:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
09.09.2025 12:45;09.09.2025 13:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,098;kWh;L1;Echtwert gemessen
09.09.2025 13:00;09.09.2025 13:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,095;kWh;L1;Echtwert gemessen
09.09.2025 13:15;09.09.2025 13:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
09.09.2025 13:30;09.09.2025 13:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
09.09.2025 13:45;09.09.2025 14:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,127;kWh;L1;Echtwert gemessen
09.09.2025 14:00;09.09.2025 14:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,122;kWh;L1;Echtwert gemessen
09.09.2025 14:15;09.09.2025 14:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,123;kWh;L1;Echtwert gemessen
09.09.2025 14:30;09.09.2025 14:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,121;kWh;L1;Echtwert gemessen
09.09.2025 14:45;09.09.2025 15:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
09.09.2025 15:00;09.09.2025 15:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
09.09.2025 15:15;09.09.2025 15:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 15:30;09.09.2025 15:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
09.09.2025 15:45;09.09.2025 16:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
09.09.2025 16:00;09.09.2025 16:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
09.09.2025 16:15;09.09.2025 16:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
09.09.2025 16:30;09.09.2025 16:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,095;kWh;L1;Echtwert gemessen
09.09.2025 16:45;09.09.2025 17:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
09.09.2025 17:00;09.09.2025 17:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,095;kWh;L1;Echtwert gemessen
09.09.2025 17:15;09.09.2025 17:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,102;kWh;L1;Echtwert gemessen
09.09.2025 17:30;09.09.2025 17:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,096;kWh;L1;Echtwert gemessen
09.09.2025 17:45;09.09.2025 18:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,096;kWh;L1;Echtwert gemessen
09.09.2025 18:00;09.09.2025 18:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,099;kWh;L1;Echtwert gemessen
09.09.2025 18:15;09.09.2025 18:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
09.09.2025 18:30;09.09.2025 18:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,142;kWh;L1;Echtwert gemessen
09.09.2025 18:45;09.09.2025 19:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,137;kWh;L1;Echtwert gemessen
09.09.2025 19:00;09.09.2025 19:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,125;kWh;L1;Echtwert gemessen
09.09.2025 19:15;09.09.2025 19:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,122;kWh;L1;Echtwert gemessen
09.09.2025 19:30;09.09.2025 19:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,132;kWh;L1;Echtwert gemessen
09.09.2025 19:45;09.09.2025 20:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,122;kWh;L1;Echtwert gemessen
09.09.2025 20:00;09.09.2025 20:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,126;kWh;L1;Echtwert gemessen
09.09.2025 20:15;09.09.2025 20:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,12;kWh;L1;Echtwert gemessen
09.09.2025 20:30;09.09.2025 20:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,124;kWh;L1;Echtwert gemessen
09.09.2025 20:45;09.09.2025 21:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,12;kWh;L1;Echtwert gemessen
09.09.2025 21:00;09.09.2025 21:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,122;kWh;L1;Echtwert gemessen
09.09.2025 21:15;09.09.2025 21:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,125;kWh;L1;Echtwert gemessen
09.09.2025 21:30;09.09.2025 21:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,13;kWh;L1;Echtwert gemessen
09.09.2025 21:45;09.09.2025 22:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,113;kWh;L1;Echtwert gemessen
09.09.2025 22:00;09.09.2025 22:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
09.09.2025 22:15;09.09.2025 22:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,098;kWh;L1;Echtwert gemessen
09.09.2025 22:30;09.09.2025 22:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,1;kWh;L1;Echtwert gemessen
09.09.2025 22:45;09.09.2025 23:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,104;kWh;L1;Echtwert gemessen
09.09.2025 23:00;09.09.2025 23:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,111;kWh;L1;Echtwert gemessen
09.09.2025 23:15;09.09.2025 23:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
09.09.2025 23:30;09.09.2025 23:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,114;kWh;L1;Echtwert gemessen
09.09.2025 23:45;10.09.2025 00:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,111;kWh;L1;Echtwert gemessen
10.09.2025 00:00;10.09.2025 00:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
10.09.2025 00:15;10.09.2025 00:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,112;kWh;L1;Echtwert gemessen
10.09.2025 00:30;10.09.2025 00:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,274;kWh;L1;Echtwert gemessen
10.09.2025 00:45;10.09.2025 01:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,128;kWh;L1;Echtwert gemessen
10.09.2025 01:00;10.09.2025 01:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,127;kWh;L1;Echtwert gemessen
10.09.2025 01:15;10.09.2025 01:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,103;kWh;L1;Echtwert gemessen
10.09.2025 01:30;10.09.2025 01:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,108;kWh;L1;Echtwert gemessen
10.09.2025 01:45;10.09.2025 02:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
10.09.2025 02:00;10.09.2025 02:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,106;kWh;L1;Echtwert gemessen
10.09.2025 02:15;10.09.2025 02:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,112;kWh;L1;Echtwert gemessen
10.09.2025 02:30;10.09.2025 02:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
10.09.2025 02:45;10.09.2025 03:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,109;kWh;L1;Echtwert gemessen
10.09.2025 03:00;10.09.2025 03:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,112;kWh;L1;Echtwert gemessen
10.09.2025 03:15;10.09.2025 03:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,107;kWh;L1;Echtwert gemessen
10.09.2025 03:30;10.09.2025 03:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,109;kWh;L1;Echtwert gemessen
10.09.2025 03:45;10.09.2025 04:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,109;kWh;L1;Echtwert gemessen
10.09.2025 04:00;10.09.2025 04:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,114;kWh;L1;Echtwert gemessen
10.09.2025 04:15;10.09.2025 04:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,119;kWh;L1;Echtwert gemessen
10.09.2025 04:30;10.09.2025 04:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,113;kWh;L1;Echtwert gemessen
10.09.2025 04:45;10.09.2025 05:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,113;kWh;L1;Echtwert gemessen
10.09.2025 05:00;10.09.2025 05:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,112;kWh;L1;Echtwert gemessen
10.09.2025 05:15;10.09.2025 05:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,104;kWh;L1;Echtwert gemessen
10.09.2025 05:30;10.09.2025 05:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,108;kWh;L1;Echtwert gemessen
10.09.2025 05:45;10.09.2025 06:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,103;kWh;L1;Echtwert gemessen
10.09.2025 06:00;10.09.2025 06:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
10.09.2025 06:15;10.09.2025 06:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,11;kWh;L1;Echtwert gemessen
10.09.2025 06:30;10.09.2025 06:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,101;kWh;L1;Echtwert gemessen
10.09.2025 06:45;10.09.2025 07:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,114;kWh;L1;Echtwert gemessen
10.09.2025 07:00;10.09.2025 07:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,13;kWh;L1;Echtwert gemessen
10.09.2025 07:15;10.09.2025 07:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,124;kWh;L1;Echtwert gemessen
10.09.2025 07:30;10.09.2025 07:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,125;kWh;L1;Echtwert gemessen
10.09.2025 07:45;10.09.2025 08:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,112;kWh;L1;Echtwert gemessen
10.09.2025 08:00;10.09.2025 08:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,143;kWh;L1;Echtwert gemessen
10.09.2025 08:15;10.09.2025 08:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,244;kWh;L1;Echtwert gemessen
10.09.2025 08:30;10.09.2025 08:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,129;kWh;L1;Echtwert gemessen
10.09.2025 08:45;10.09.2025 09:00;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,108;kWh;L1;Echtwert gemessen
10.09.2025 09:00;10.09.2025 09:15;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
10.09.2025 09:15;10.09.2025 09:30;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,105;kWh;L1;Echtwert gemessen
10.09.2025 09:30;10.09.2025 09:45;AT00700XXXXXXXXXXXXXXXXXXXXXXXXXX;;;;;0,136;kWh;L1;Echtwert gemessen
