Anlagennummer;Zählpunkt;Tarif;Statistikzeitraum Beginn;Statistikzeitraum Ende;Wert;Einheit;Messwert: VAL...gemessen, EST...rechnerisch ermittelt
00000000;AT0000000000000000000000000000000;;26.04.2024 14:45;26.04.2024 15:00;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 15:00;26.04.2024 15:15;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 15:15;26.04.2024 15:30;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 15:30;26.04.2024 15:45;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 15:45;26.04.2024 16:00;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 16:00;26.04.2024 16:15;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 16:15;26.04.2024 16:30;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 16:30;26.04.2024 16:45;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 16:45;26.04.2024 17:00;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 17:00;26.04.2024 17:15;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 17:15;26.04.2024 17:30;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 17:30;26.04.2024 17:45;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 17:45;26.04.2024 18:00;0,033;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 18:00;26.04.2024 18:15;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 18:15;26.04.2024 18:30;0,003;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 18:30;26.04.2024 18:45;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 18:45;26.04.2024 19:00;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 19:00;26.04.2024 19:15;0;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 19:15;26.04.2024 19:30;0,003;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 19:30;26.04.2024 19:45;0,05;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 19:45;26.04.2024 20:00;0,083;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 20:00;26.04.2024 20:15;0,108;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 20:15;26.04.2024 20:30;0,107;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 20:30;26.04.2024 20:45;0,107;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 20:45;26.04.2024 21:00;0,102;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 21:00;26.04.2024 21:15;0,074;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 21:15;26.04.2024 21:30;0,093;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 21:30;26.04.2024 21:45;0,08;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 21:45;26.04.2024 22:00;0,084;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 22:00;26.04.2024 22:15;0,088;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 22:15;26.04.2024 22:30;0,085;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 22:30;26.04.2024 22:45;0,094;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 22:45;26.04.2024 23:00;0,1;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 23:00;26.04.2024 23:15;0,096;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 23:15;26.04.2024 23:30;0,086;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 23:30;26.04.2024 23:45;0,084;KWH;VAL
00000000;AT0000000000000000000000000000000;;26.04.2024 23:45;27.04.2024 00:00;0,07;KWH;VAL
