Messzeitpunkt;Gemessener Verbrauch (kWh);Ersatzwert;
02.01.2023 22:45;0,270;;
02.01.2023 23:00;0,114;;
02.01.2023 23:15;0,083;;
02.01.2023 23:30;0,120;;
02.01.2023 23:45;0,103;;
03.01.2023 00:00;0,119;;
03.01.2023 00:15;0,104;;
03.01.2023 00:30;0,112;;
03.01.2023 00:45;0,076;;
03.01.2023 01:00;0,100;;
03.01.2023 01:15;0,117;;
03.01.2023 01:30;0,097;;
03.01.2023 01:45;0,093;;
03.01.2023 02:00;0,097;;
03.01.2023 02:15;0,120;;
03.01.2023 02:30;0,081;;
03.01.2023 02:45;0,134;;
03.01.2023 03:00;0,351;;
03.01.2023 03:15;0,114;;
03.01.2023 03:30;0,095;;
03.01.2023 03:45;0,095;;
03.01.2023 04:00;0,084;;
03.01.2023 04:15;0,086;;
03.01.2023 04:30;0,071;;
03.01.2023 04:45;0,428;;
03.01.2023 05:00;0,416;;
03.01.2023 05:15;0,093;;
03.01.2023 05:30;0,087;;
03.01.2023 05:45;0,088;;
03.01.2023 06:00;0,101;;
03.01.2023 06:15;0,064;;
03.01.2023 06:30;0,070;;
03.01.2023 06:45;0,103;;
03.01.2023 07:00;0,125;;
03.01.2023 07:15;0,077;;
03.01.2023 07:30;0,070;;
03.01.2023 07:45;0,082;;
03.01.2023 08:00;0,084;;
03.01.2023 08:15;0,073;;
03.01.2023 08:30;0,090;;
03.01.2023 08:45;0,133;;
03.01.2023 09:00;0,152;;
03.01.2023 09:15;0,077;;
03.01.2023 09:30;0,042;;
03.01.2023 09:45;0,035;;
03.01.2023 10:00;0,001;;
03.01.2023 10:15;0,000;;
03.01.2023 10:30;0,000;;
03.01.2023 10:45;0,005;;
03.01.2023 11:00;0,004;;
03.01.2023 11:15;0,133;;
03.01.2023 11:30;0,001;;
03.01.2023 11:45;0,000;;
03.01.2023 12:00;0,226;;
03.01.2023 12:15;0,406;;
03.01.2023 12:30;0,518;;
03.01.2023 12:45;0,557;;
03.01.2023 13:00;0,437;;
03.01.2023 13:15;0,654;;
03.01.2023 13:30;0,264;;
03.01.2023 13:45;0,396;;
03.01.2023 14:00;0,225;;
03.01.2023 14:15;0,181;;
03.01.2023 14:30;0,206;;
03.01.2023 14:45;0,473;;
03.01.2023 15:00;0,327;;
03.01.2023 15:15;0,485;;
03.01.2023 15:30;0,030;;
03.01.2023 15:45;0,106;;
03.01.2023 16:00;0,243;;
03.01.2023 16:15;0,211;;
03.01.2023 16:30;0,106;;
03.01.2023 16:45;0,116;;
03.01.2023 17:00;0,199;;
03.01.2023 17:15;0,264;;
03.01.2023 17:30;0,160;;
03.01.2023 17:45;0,119;;
03.01.2023 18:00;0,122;;
03.01.2023 18:15;0,490;;
03.01.2023 18:30;0,524;;
03.01.2023 18:45;0,205;;
03.01.2023 19:00;0,171;;
03.01.2023 19:15;0,110;;
03.01.2023 19:30;0,122;;
03.01.2023 19:45;0,133;;
03.01.2023 20:00;0,229;;
03.01.2023 20:15;0,125;;
03.01.2023 20:30;0,120;;
03.01.2023 20:45;0,144;;
03.01.2023 21:00;0,117;;
03.01.2023 21:15;0,097;;
03.01.2023 21:30;0,150;;
03.01.2023 21:45;0,238;;
03.01.2023 22:00;0,204;;
03.01.2023 22:15;0,227;;
03.01.2023 22:30;0,260;;
03.01.2023 22:45;0,137;;
03.01.2023 23:00;0,229;;
03.01.2023 23:15;0,226;;
03.01.2023 23:30;0,119;;
03.01.2023 23:45;0,103;;
04.01.2023 00:00;0,107;;
04.01.2023 00:15;0,116;;
04.01.2023 00:30;0,089;;
04.01.2023 00:45;0,083;;
04.01.2023 01:00;0,096;;
04.01.2023 01:15;1,705;;
04.01.2023 01:30;1,974;;
04.01.2023 01:45;1,799;;
04.01.2023 02:00;1,809;;
04.01.2023 02:15;1,808;;
04.01.2023 02:30;1,778;;
04.01.2023 02:45;1,768;;
04.01.2023 03:00;1,816;;
04.01.2023 03:15;2,092;;
04.01.2023 03:30;2,173;;
04.01.2023 03:45;1,822;;
04.01.2023 04:00;1,191;;
04.01.2023 04:15;0,846;;
04.01.2023 04:30;0,840;;
04.01.2023 04:45;0,865;;
04.01.2023 05:00;0,875;;
04.01.2023 05:15;0,114;;
04.01.2023 05:30;0,078;;
04.01.2023 05:45;0,089;;
04.01.2023 06:00;0,079;;
04.01.2023 06:15;0,060;;
04.01.2023 06:30;0,097;;
04.01.2023 06:45;0,118;;
04.01.2023 07:00;0,081;;
04.01.2023 07:15;0,069;;
04.01.2023 07:30;0,077;;
04.01.2023 07:45;0,158;;
04.01.2023 08:00;0,183;;
04.01.2023 08:15;0,176;;
04.01.2023 08:30;0,190;;
04.01.2023 08:45;0,167;;
04.01.2023 09:00;0,106;;
04.01.2023 09:15;0,057;;
04.01.2023 09:30;0,042;;
04.01.2023 09:45;0,053;;
04.01.2023 10:00;0,031;;
04.01.2023 10:15;0,151;;
04.01.2023 10:30;0,170;;
04.01.2023 10:45;0,038;;
04.01.2023 11:00;0,010;;
04.01.2023 11:15;0,000;;
04.01.2023 11:30;0,424;;
04.01.2023 11:45;0,124;;
04.01.2023 12:00;0,448;;
04.01.2023 12:15;0,342;;
04.01.2023 12:30;0,024;;
04.01.2023 12:45;0,009;;
04.01.2023 13:00;0,000;;
04.01.2023 13:15;0,011;;
04.01.2023 13:30;0,000;;
04.01.2023 13:45;0,124;;
04.01.2023 14:00;0,251;;
04.01.2023 14:15;0,014;;
04.01.2023 14:30;0,073;;
04.01.2023 14:45;0,000;;
04.01.2023 15:00;0,041;;
04.01.2023 15:15;0,059;;
04.01.2023 15:30;0,106;;
04.01.2023 15:45;0,116;;
04.01.2023 16:00;0,164;;
04.01.2023 16:15;0,143;;
04.01.2023 16:30;0,126;;
04.01.2023 16:45;0,143;;
04.01.2023 17:00;0,421;;
04.01.2023 17:15;0,425;;
04.01.2023 17:30;0,430;;
04.01.2023 17:45;0,442;;
04.01.2023 18:00;0,420;;
04.01.2023 18:15;0,265;;
04.01.2023 18:30;0,164;;
04.01.2023 18:45;0,112;;
04.01.2023 19:00;0,119;;
04.01.2023 19:15;0,273;;
04.01.2023 19:30;0,181;;
04.01.2023 19:45;0,119;;
04.01.2023 20:00;0,125;;
04.01.2023 20:15;0,136;;
04.01.2023 20:30;0,111;;
04.01.2023 20:45;0,101;;
04.01.2023 21:00;0,119;;
04.01.2023 21:15;0,158;;
04.01.2023 21:30;0,131;;
04.01.2023 21:45;0,107;;
04.01.2023 22:00;0,115;;
04.01.2023 22:15;0,113;;
04.01.2023 22:30;0,194;;
04.01.2023 22:45;0,086;;
04.01.2023 23:00;0,114;;
04.01.2023 23:15;0,085;;
04.01.2023 23:30;0,083;;
04.01.2023 23:45;0,101;;
05.01.2023 00:00;0,083;;
05.01.2023 00:15;0,078;;
05.01.2023 00:30;0,081;;
05.01.2023 00:45;0,132;;
05.01.2023 01:00;0,097;;
05.01.2023 01:15;1,038;;
05.01.2023 01:30;0,986;;
05.01.2023 01:45;0,878;;
05.01.2023 02:00;0,869;;
05.01.2023 02:15;1,635;;
05.01.2023 02:30;1,833;;
05.01.2023 02:45;1,823;;
05.01.2023 03:00;1,975;;
05.01.2023 03:15;2,429;;
05.01.2023 03:30;2,335;;
05.01.2023 03:45;1,876;;
05.01.2023 04:00;1,825;;
05.01.2023 04:15;1,835;;
05.01.2023 04:30;1,934;;
05.01.2023 04:45;1,943;;
05.01.2023 05:00;1,854;;
05.01.2023 05:15;1,818;;
05.01.2023 05:30;1,793;;
05.01.2023 05:45;1,823;;
05.01.2023 06:00;1,826;;
05.01.2023 06:15;0,548;;
05.01.2023 06:30;0,067;;
05.01.2023 06:45;0,081;;
05.01.2023 07:00;0,086;;
05.01.2023 07:15;0,085;;
05.01.2023 07:30;0,064;;
05.01.2023 07:45;0,107;;
05.01.2023 08:00;0,105;;
05.01.2023 08:15;0,106;;
05.01.2023 08:30;0,194;;
05.01.2023 08:45;0,159;;
05.01.2023 09:00;0,279;;
05.01.2023 09:15;0,186;;
05.01.2023 09:30;0,119;;
05.01.2023 09:45;0,141;;
05.01.2023 10:00;0,195;;
05.01.2023 10:15;0,243;;
05.01.2023 10:30;0,209;;
05.01.2023 10:45;0,172;;
05.01.2023 11:00;0,160;;
05.01.2023 11:15;0,143;;
05.01.2023 11:30;0,510;;
05.01.2023 11:45;0,210;;
05.01.2023 12:00;0,067;;
05.01.2023 12:15;0,215;;
05.01.2023 12:30;0,066;;
05.01.2023 12:45;0,047;;
05.01.2023 13:00;0,001;;
05.01.2023 13:15;0,166;;
05.01.2023 13:30;0,221;;
05.01.2023 13:45;0,275;;
05.01.2023 14:00;0,276;;
05.01.2023 14:15;0,153;;
05.01.2023 14:30;0,054;;
05.01.2023 14:45;0,058;;
05.01.2023 15:00;0,048;;
05.01.2023 15:15;0,034;;
05.01.2023 15:30;0,071;;
05.01.2023 15:45;0,080;;
05.01.2023 16:00;0,109;;
05.01.2023 16:15;0,185;;
05.01.2023 16:30;0,112;;
05.01.2023 16:45;0,095;;
05.01.2023 17:00;0,099;;
05.01.2023 17:15;0,158;;
05.01.2023 17:30;0,131;;
05.01.2023 17:45;0,154;;
05.01.2023 18:00;0,485;;
05.01.2023 18:15;0,159;;
05.01.2023 18:30;0,134;;
05.01.2023 18:45;0,382;;
05.01.2023 19:00;0,402;;
05.01.2023 19:15;0,209;;
05.01.2023 19:30;0,328;;
05.01.2023 19:45;0,171;;
05.01.2023 20:00;0,281;;
05.01.2023 20:15;0,118;;
05.01.2023 20:30;0,150;;
05.01.2023 20:45;0,153;;
05.01.2023 21:00;0,155;;
05.01.2023 21:15;0,121;;
05.01.2023 21:30;0,254;;
05.01.2023 21:45;0,146;;
05.01.2023 22:00;0,108;;
05.01.2023 22:15;0,143;;
05.01.2023 22:30;0,378;;
05.01.2023 22:45;0,117;;
05.01.2023 23:00;0,140;;
05.01.2023 23:15;0,177;;
05.01.2023 23:30;0,105;;
05.01.2023 23:45;0,107;;
06.01.2023 00:00;0,132;;
06.01.2023 00:15;0,097;;
06.01.2023 00:30;0,105;;
06.01.2023 00:45;0,125;;
06.01.2023 01:00;0,477;;
06.01.2023 01:15;0,943;;
06.01.2023 01:30;1,005;;
06.01.2023 01:45;0,986;;
06.01.2023 02:00;0,992;;
06.01.2023 02:15;1,057;;
06.01.2023 02:30;1,126;;
06.01.2023 02:45;1,209;;
06.01.2023 03:00;1,663;;
06.01.2023 03:15;1,272;;
06.01.2023 03:30;1,132;;
06.01.2023 03:45;1,109;;
06.01.2023 04:00;1,126;;
06.01.2023 04:15;1,126;;
06.01.2023 04:30;1,124;;
06.01.2023 04:45;1,064;;
06.01.2023 05:00;0,992;;
06.01.2023 05:15;0,992;;
06.01.2023 05:30;0,991;;
06.01.2023 05:45;0,995;;
06.01.2023 06:00;0,957;;
06.01.2023 06:15;0,094;;
06.01.2023 06:30;0,094;;
06.01.2023 06:45;0,095;;
06.01.2023 07:00;0,095;;
06.01.2023 07:15;0,089;;
06.01.2023 07:30;0,101;;
06.01.2023 07:45;0,088;;
06.01.2023 08:00;0,169;;
06.01.2023 08:15;0,275;;
06.01.2023 08:30;1,145;;
06.01.2023 08:45;1,039;;
06.01.2023 09:00;1,046;;
06.01.2023 09:15;0,992;;
06.01.2023 09:30;0,899;;
06.01.2023 09:45;0,684;;
06.01.2023 10:00;0,248;;
06.01.2023 10:15;0,249;;
06.01.2023 10:30;0,186;;
06.01.2023 10:45;0,000;;
06.01.2023 11:00;0,000;;
06.01.2023 11:15;0,000;;
06.01.2023 11:30;0,000;;
06.01.2023 11:45;0,000;;
06.01.2023 12:00;0,000;;
06.01.2023 12:15;0,000;;
06.01.2023 12:30;0,001;;
06.01.2023 12:45;0,000;;
06.01.2023 13:00;0,000;;
06.01.2023 13:15;0,000;;
06.01.2023 13:30;0,000;;
06.01.2023 13:45;0,000;;
06.01.2023 14:00;0,000;;
06.01.2023 14:15;0,000;;
