Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
01.10.2023 16:45:00;01.10.2023 16:59:59;0,003;;;
01.10.2023 17:00:00;01.10.2023 17:14:59;0,024;;;
01.10.2023 17:15:00;01.10.2023 17:29:59;0,034;;;
01.10.2023 17:30:00;01.10.2023 17:44:59;0,013;;;
01.10.2023 17:45:00;01.10.2023 17:59:59;0,003;;;
01.10.2023 18:00:00;01.10.2023 18:14:59;0,006;;;
01.10.2023 18:15:00;01.10.2023 18:29:59;0,002;;;
01.10.2023 18:30:00;01.10.2023 18:44:59;0,293;;;
01.10.2023 18:45:00;01.10.2023 18:59:59;0,202;;;
01.10.2023 19:00:00;01.10.2023 19:14:59;0,148;;;
01.10.2023 19:15:00;01.10.2023 19:29:59;0,153;;;
01.10.2023 19:30:00;01.10.2023 19:44:59;0,173;;;
01.10.2023 19:45:00;01.10.2023 19:59:59;0,143;;;
01.10.2023 20:00:00;01.10.2023 20:14:59;0,125;;;
01.10.2023 20:15:00;01.10.2023 20:29:59;0,091;;;
01.10.2023 20:30:00;01.10.2023 20:44:59;0,139;;;
01.10.2023 20:45:00;01.10.2023 20:59:59;0,072;;;
01.10.2023 21:00:00;01.10.2023 21:14:59;0,077;;;
01.10.2023 21:15:00;01.10.2023 21:29:59;0,068;;;
01.10.2023 21:30:00;01.10.2023 21:44:59;0,061;;;
01.10.2023 21:45:00;01.10.2023 21:59:59;0,07;;;
01.10.2023 22:00:00;01.10.2023 22:14:59;0,077;;;
01.10.2023 22:15:00;01.10.2023 22:29:59;0,102;;;
01.10.2023 22:30:00;01.10.2023 22:44:59;0,082;;;
01.10.2023 22:45:00;01.10.2023 22:59:59;0,064;;;
01.10.2023 23:00:00;01.10.2023 23:14:59;0,054;;;
01.10.2023 23:15:00;01.10.2023 23:29:59;0,045;;;
01.10.2023 23:30:00;01.10.2023 23:44:59;0,058;;;
01.10.2023 23:45:00;01.10.2023 23:59:59;0,047;;;
02.10.2023 00:00:00;02.10.2023 00:14:59;0,052;;;
02.10.2023 00:15:00;02.10.2023 00:29:59;0,043;;;
02.10.2023 00:30:00;02.10.2023 00:44:59;0,036;;;
02.10.2023 00:45:00;02.10.2023 00:59:59;0,052;;;
02.10.2023 01:00:00;02.10.2023 01:14:59;0,04;;;
02.10.2023 01:15:00;02.10.2023 01:29:59;0,046;;;
02.10.2023 01:30:00;02.10.2023 01:44:59;0,048;;;
02.10.2023 01:45:00;02.10.2023 01:59:59;0,034;;;
02.10.2023 02:00:00;02.10.2023 02:14:59;0,043;;;
