"Datum und Uhrzeit";"Lastgänge (306,499 kWh)";"Status"
"2023-06-09 04:00:00";0.084;"Wert ist gültig"
"2023-06-09 04:15:00";0.063;"Wert ist gültig"
"2023-06-09 04:30:00";0.056;"Wert ist gültig"
"2023-06-09 04:45:00";0.043;"Wert ist gültig"
"2023-06-09 05:00:00";0.037;"Wert ist gültig"
"2023-06-09 05:15:00";0.02;"Wert ist gültig"
"2023-06-09 05:30:00";0.002;"Wert ist gültig"
"2023-06-09 05:45:00";0;"Wert ist gültig"
"2023-06-09 06:00:00";0;"Wert ist gültig"
"2023-06-09 06:15:00";0;"Wert ist gültig"
"2023-06-09 06:30:00";0;"Wert ist gültig"
"2023-06-09 06:45:00";0;"Wert ist gültig"
"2023-06-09 07:00:00";0;"Wert ist gültig"
"2023-06-09 07:15:00";0;"Wert ist gültig"
"2023-06-09 07:30:00";0;"Wert ist gültig"
"2023-06-09 07:45:00";0;"Wert ist gültig"
"2023-06-09 08:00:00";0;"Wert ist gültig"
"2023-06-09 08:15:00";0;"Wert ist gültig"
"2023-06-09 08:30:00";0;"Wert ist gültig"
"2023-06-09 08:45:00";0;"Wert ist gültig"
"2023-06-09 09:00:00";0;"Wert ist gültig"
"2023-06-09 09:15:00";0;"Wert ist gültig"
"2023-06-09 09:30:00";0;"Wert ist gültig"
"2023-06-09 09:45:00";0;"Wert ist gültig"
"2023-06-09 10:00:00";0;"Wert ist gültig"
"2023-06-09 10:15:00";0;"Wert ist gültig"
"2023-06-09 10:30:00";0;"Wert ist gültig"
"2023-06-09 10:45:00";0;"Wert ist gültig"
"2023-06-09 11:00:00";0;"Wert ist gültig"
"2023-06-09 11:15:00";0;"Wert ist gültig"
"2023-06-09 11:30:00";0;"Wert ist gültig"
"2023-06-09 11:45:00";0;"Wert ist gültig"
"2023-06-09 12:00:00";0;"Wert ist gültig"
"2023-06-09 12:15:00";0;"Wert ist gültig"
"2023-06-09 12:30:00";0;"Wert ist gültig"
"2023-06-09 12:45:00";0;"Wert ist gültig"
"2023-06-09 13:00:00";0;"Wert ist gültig"
"2023-06-09 13:15:00";0;"Wert ist gültig"
"2023-06-09 13:30:00";0;"Wert ist gültig"
"2023-06-09 13:45:00";0;"Wert ist gültig"
"2023-06-09 14:00:00";0;"Wert ist gültig"
"2023-06-09 14:15:00";0;"Wert ist gültig"
"2023-06-09 14:30:00";0;"Wert ist gültig"
"2023-06-09 14:45:00";0;"Wert ist gültig"
"2023-06-09 15:00:00";0;"Wert ist gültig"
"2023-06-09 15:15:00";0;"Wert ist gültig"
"2023-06-09 15:30:00";0;"Wert ist gültig"
"2023-06-09 15:45:00";0;"Wert ist gültig"
"2023-06-09 16:00:00";0;"Wert ist gültig"
"2023-06-09 16:15:00";0;"Wert ist gültig"
"2023-06-09 16:30:00";0;"Wert ist gültig"
"2023-06-09 16:45:00";0;"Wert ist gültig"
"2023-06-09 17:00:00";0;"Wert ist gültig"
"2023-06-09 17:15:00";0;"Wert ist gültig"
"2023-06-09 17:30:00";0;"Wert ist gültig"
"2023-06-09 17:45:00";0;"Wert ist gültig"
"2023-06-09 18:00:00";0;"Wert ist gültig"
"2023-06-09 18:15:00";0;"Wert ist gültig"
"2023-06-09 18:30:00";0;"Wert ist gültig"
"2023-06-09 18:45:00";0;"Wert ist gültig"
"2023-06-09 19:00:00";0;"Wert ist gültig"
"2023-06-09 19:15:00";0;"Wert ist gültig"
"2023-06-09 19:30:00";0.05;"Wert ist gültig"
"2023-06-09 19:45:00";0.49;"Wert ist gültig"
"2023-06-09 20:00:00";0.335;"Wert ist gültig"
"2023-06-09 20:15:00";0;"Wert ist gültig"
"2023-06-09 20:30:00";0.036;"Wert ist gültig"
"2023-06-09 20:45:00";0.089;"Wert ist gültig"
"2023-06-09 21:00:00";0.076;"Wert ist gültig"
"2023-06-09 21:15:00";0.075;"Wert ist gültig"
"2023-06-09 21:30:00";0.073;"Wert ist gültig"
"2023-06-09 21:45:00";0.045;"Wert ist gültig"
"2023-06-09 22:00:00";0.046;"Wert ist gültig"
"2023-06-09 22:15:00";0.05;"Wert ist gültig"
"2023-06-09 22:30:00";0.059;"Wert ist gültig"
"2023-06-09 22:45:00";0.058;"Wert ist gültig"
"2023-06-09 23:00:00";0.044;"Wert ist gültig"
"2023-06-09 23:15:00";0.05;"Wert ist gültig"
"2023-06-09 23:30:00";0.079;"Wert ist gültig"
"2023-06-09 23:45:00";0.063;"Wert ist gültig"
"2023-06-10 00:00:00";0.061;"Wert ist gültig"
"2023-06-10 00:15:00";0.082;"Wert ist gültig"
"2023-06-10 00:30:00";0.079;"Wert ist gültig"
"2023-06-10 00:45:00";0.048;"Wert ist gültig"
"2023-06-10 01:00:00";0.037;"Wert ist gültig"
"2023-06-10 01:15:00";0.044;"Wert ist gültig"
"2023-06-10 01:30:00";0.042;"Wert ist gültig"
"2023-06-10 01:45:00";0.047;"Wert ist gültig"
"2023-06-10 02:00:00";0.053;"Wert ist gültig"
"2023-06-10 02:15:00";0.058;"Wert ist gültig"
"2023-06-10 02:30:00";0.047;"Wert ist gültig"
"2023-06-10 02:45:00";0.046;"Wert ist gültig"
"2023-06-10 03:00:00";0.236;"Wert ist gültig"
"2023-06-10 03:15:00";0.237;"Wert ist gültig"
"2023-06-10 03:30:00";0.226;"Wert ist gültig"
"2023-06-10 03:45:00";0.227;"Wert ist gültig"
"2023-06-10 04:00:00";0.086;"Wert ist gültig"
"2023-06-10 04:15:00";0.066;"Wert ist gültig"
"2023-06-10 04:30:00";0.06;"Wert ist gültig"
"2023-06-10 04:45:00";0.05;"Wert ist gültig"
"2023-06-10 05:00:00";0.05;"Wert ist gültig"
"2023-06-10 05:15:00";0.033;"Wert ist gültig"
"2023-06-10 05:30:00";0;"Wert ist gültig"
"2023-06-10 05:45:00";0.263;"Wert ist gültig"
"2023-06-10 06:00:00";0.174;"Wert ist gültig"
"2023-06-10 06:15:00";0.033;"Wert ist gültig"
"2023-06-10 06:30:00";0;"Wert ist gültig"
"2023-06-10 06:45:00";0;"Wert ist gültig"
"2023-06-10 07:00:00";0;"Wert ist gültig"
"2023-06-10 07:15:00";0;"Wert ist gültig"
"2023-06-10 07:30:00";0;"Wert ist gültig"
"2023-06-10 07:45:00";0;"Wert ist gültig"
"2023-06-10 08:00:00";0;"Wert ist gültig"
"2023-06-10 08:15:00";0;"Wert ist gültig"
"2023-06-10 08:30:00";0;"Wert ist gültig"
"2023-06-10 08:45:00";0;"Wert ist gültig"
"2023-06-10 09:00:00";0;"Wert ist gültig"
"2023-06-10 09:15:00";0;"Wert ist gültig"
"2023-06-10 09:30:00";0;"Wert ist gültig"
"2023-06-10 09:45:00";0;"Wert ist gültig"
"2023-06-10 10:00:00";0;"Wert ist gültig"
"2023-06-10 10:15:00";0;"Wert ist gültig"
"2023-06-10 10:30:00";0;"Wert ist gültig"
